"","estimator","generator","bias.50","bias.200","bias.100","bias.1000"
"4","stepwise05","none",0.0766616911499819,0.0196880080175071,0.0411995196715684,0.0018466825821737
"10","stepwise0083","none",0.0436862940727926,-0.0034325196758401,0.00866851583134906,-0.00327300715294631
"17","bestfacet","none",0.0207970416166712,-0.0464277711226647,-0.0175586903612263,-0.0559027969015075
"25","ezekiel","none",-0.0118341003921518,-0.00261976054726448,0.00931120857667844,-0.000533231430368253
"33","olkinpratt","none",-0.0143490609013017,-0.0026021237794857,0.00952017926857437,-0.000532675509080893
"41","rsquare","none",0.318653287525638,0.072247595026707,0.160479312883714,0.0143056040176515
"1","stepwise05","real",0.0644232914506915,0.011680657861839,0.0236609711525486,-0.000548764831332205
"9","stepwise0083","real",0.0255436310150573,-0.00797943887493049,-0.0245726094711516,-0.00795226603871219
"18","bestfacet","real",-0.0231194000228,-0.0300604191369853,-0.0350085051537367,-0.0430132858357141
"27","ezekiel","real",0.0511970631621022,0.00604605031952238,0.00844182616074449,0.00260948353855731
"34","olkinpratt","real",0.0513177018075457,0.00615587934513082,0.00863984526452519,0.00261762533421869
"42","rsquare","real",0.248911442279291,0.0590666732505399,0.110568155799776,0.0127541447695801
