"","estimator","generator","se.50","se.200","se.100","se.1000"
"4","stepwise05","none",0.0802497096416487,0.01342348593738,0.0328597080539706,0.00403938840852056
"10","stepwise0083","none",0.0712377683361329,0.0236929976886635,0.0439229697521297,0.00495007178908435
"17","bestfacet","none",0.0459960906235099,0.0186627586994919,0.0285058013647089,0.0153935269361896
"25","ezekiel","none",0.194393876976652,0.0168472092873987,0.0462442346263764,0.00304018446237255
"33","olkinpratt","none",0.200977684589565,0.0168807883971251,0.0464450287945809,0.00304142642072617
"41","rsquare","none",0.0761319843307201,0.0150209459792333,0.0436416857934734,0.00304037557318943
"1","stepwise05","real",0.0919837675416236,0.0362974360711603,0.0666246640904432,0.0181338879565151
"9","stepwise0083","real",0.0944438335603317,0.0324114188080729,0.0724497870252791,0.0164923322331362
"18","bestfacet","real",0.0544978536653132,0.0263538472136392,0.0505024572197735,0.0149116325205232
"27","ezekiel","real",0.12160629009691,0.0328415489514182,0.0699659416785794,0.0170210361930405
"34","olkinpratt","real",0.121840028976264,0.03286772642347,0.0701115700143753,0.0170232130306332
"42","rsquare","real",0.0775950304614807,0.0306855373585281,0.0632602573984955,0.016795745906468
