"","factor","facet","r_zero_order","sr_focal_factor","sr_all_factors","sr_other_facets"
"1","ipip_neuroticism","ipip_n_anxiety","*","","",""
"2","ipip_neuroticism","ipip_n_anger","*","*","",""
"3","ipip_neuroticism","ipip_n_depression","*","*","*","*"
"4","ipip_neuroticism","ipip_n_self_consciousness","*","","*",""
"5","ipip_neuroticism","ipip_n_immoderation","","*","",""
"6","ipip_neuroticism","ipip_n_vulnerability","*","","",""
"7","ipip_extraversion","ipip_e_friendliness","*","","",""
"8","ipip_extraversion","ipip_e_gregariousness","*","","",""
"9","ipip_extraversion","ipip_e_assertiveness","*","","",""
"10","ipip_extraversion","ipip_e_activity_level","*","","",""
"11","ipip_extraversion","ipip_e_excitement_seeking","*","*","",""
"12","ipip_extraversion","ipip_e_cheerfulness","*","*","*","*"
"13","ipip_openness","ipip_o_imagination","","","",""
"14","ipip_openness","ipip_o_artistic_interests","","","",""
"15","ipip_openness","ipip_o_emotionality","","","",""
"16","ipip_openness","ipip_o_adventurousness","*","*","",""
"17","ipip_openness","ipip_o_intellect","*","","",""
"18","ipip_openness","ipip_o_liberalism","","*","",""
"19","ipip_agreeableness","ipip_a_trust","*","*","",""
"20","ipip_agreeableness","ipip_a_morality","","","",""
"21","ipip_agreeableness","ipip_a_altruism","*","*","",""
"22","ipip_agreeableness","ipip_a_cooperation","","","",""
"23","ipip_agreeableness","ipip_a_modesty","*","*","",""
"24","ipip_agreeableness","ipip_a_sympathy","","","",""
"25","ipip_conscientiousness","ipip_c_self_efficacy","*","*","",""
"26","ipip_conscientiousness","ipip_c_orderliness","","*","",""
"27","ipip_conscientiousness","ipip_c_dutifulness","","","",""
"28","ipip_conscientiousness","ipip_c_achievement_striving","*","*","",""
"29","ipip_conscientiousness","ipip_c_self_discipline","*","*","",""
"30","ipip_conscientiousness","ipip_c_cautiousness","","*","",""
